class_label;count
luggage;31
scale;30
bath;30
boiler;30
garage door opener railing;30
bath mat;30
curtain bar;30
bouquet;29
notes;29
shutter;29
cooker;28
note;28
snack;28
toilet brush holder;27
globe;27
bedside table;27
bicycle;27
furnace;27
clothes rack;27
candlestick;27
hose;27
sofa seat;26
patio chair;26
trophy;26
knob;26
furniture;26
washer-dryer;25
screen;25
shower door handle;25
rail;25
worktop;25
electrical box;25
door cabinet;25
lampshade;25
drum;24
computer desk;24
coffee mug;24
wall toilet paper;24
porcelain;24
thermostat;24
object;24
products;24
smoke alarm;23
soap dish;23
piano;23
fire detector;23
bathrobe;23
cover;23
stationery;23
dvd;23
sheet;22
platform;22
footrest;22
bidet;22
light switch;22
pen;22
hunting trophy;22
flower stand;21
bed stand;21
plate of food;21
exercise ball;21
knife;21
exercise machine;21
utensil;21
clothes hanger rod;21
shoe case;21
shower seat;21
panel;21
doll;20
mug;20
recycle bin;20
rocking chair;20
flatware;20
shovel;19
fruit;19
lamp table;19
socket;19
desk clutter;19
firewood;19
shower tub;19
exit sign;19
keys;19
jug;19
closet rod;19
wall hanger;19
surface;19
mop;18
dish;18
wine;18
spice rack;18
computer equipment;18
sconce;18
cap;18
fire sprinkler;18
mascot;18
holy cross;18
tank;18
towel ring;18
lace doily;18
cart;17
storage shelving;17
hook;17
washing powder;17
fan coil;17
diploma;16
locker;16
end table;16
bed comforter;16
robe;16
tile;16
cardboard;15
crib;15
perfume;15
bathtub platform;15
washbasin counter;15
toothbrush;15
stick;15
fuse box;15
paper storage;15
bedframe;15
lounge chair;15
flag;15
pet bed;15
place mat;15
security camera;15
kitchen table;14
hot water/cold water knob;14
fluorescent light;14
figurine;14
rope;14
wine rack;14
motion detector;14
clothes hamper;14
wall control;14
small table/stand;14
dinnerware;14
dishrag;13
record player;13
plunger;13
weight;13
clothes bag;13
electric outlet;13
iron;13
outlet;13
identifier;13
media console;13
heater piping;13
ceiling fan lamp;13
shirt;13
fireplace utensil;12
fireplace tool set;12
whiteboard;12
acoustic panel;12
sideboard;12
control panel;12
coat;12
sprinkler;12
beanbag chair;12
hearth;12
ceiling arch;12
elevator;11
music player;11
trash bag;11
lamp stand;11
rod;11
clothes container;11
bar cabinet;11
coat rack;11
file cabinet;11
computer tower;11
cable;11
basin;11
backrest;11
audio cable;11
separator;11
button;10
paper towel dispenser;10
treadmill;10
wreath;10
wall soap shelf;10
toilet cleaner;10
alarm controller;10
glasses;10
exercise bike;10
briefcase;10
bathroom art;10
tissue;10
counter;10
watch;10
plumbing;10
storage;10
mixer;10
oil lamp;10
wheel;10
grill;9
decoder;9
garage light;9
garage door motor;9
tablet;9
bulletin board;9
canister;9
tire;9
shoe rack;9
toiletry;9
headphones;9
lounger;9
shelf cubby;9
display table;9
piano stool;9
billiard cue;9
violin;9
drawing;9
firewood holder;8
lid;8
canvas;8
pan;8
sewing machine;8
shower grab bar;8
table pad;8
map;8
pool table;8
bed sheet;8
pitcher;8
dressing table;8
dishes;8
arcade game;8
highchair;8
notebook;8
footstool;8
basket of towels;8
fork;8
statue/art;8
shades;8
gift;8
kitchen chair;8
sheets / clothes;8
mirror door;8
art/muscle shell;8
calculator;7
keyboard piano;7
washcloth;7
cd;7
slippers;7
yoga mat;7
dartboard;7
shower base;7
step stool;7
urinal;7
control;7
projector screen;7
closet shelving;7
island;7
massage bed;7
freezer;7
shower glass;7
water dispenser;7
headboard;7
album;7
ukulele;7
mantel;7
cutlery;7
shelf / cabinet;7
napkin;7
car;6
table stand;6
shower mat;6
electric wire casing;6
ceiling lamp hanger;6
shelf clutter;6
purse;6
closet area for hanging clothes;6
scarf;6
bath dial;6
safe;6
saw;6
holder;6
exhibition panel;6
counter door;6
watering can;6
easel;6
laundry bag;6
entertainment set;6
bed curtain;6
phone;6
shop shelf;6
plug;6
newspaper basket;6
cross;6
silicone tube;6
shisha;6
star;6
portrait;6
office table;5
hair dryer;5
cleaning clutter;5
piano bench;5
plank;5
shelf with art;5
bathroom rug;5
tree;5
tree branch;5
barrel;5
easy chair;5
stone;5
spoon;5
air freshener;5
trinket;5
landing;5
fireplace sconce;5
music equipment stand;5
clarinet;5
guitar straps;5
art/clutter;5
exercise mat;5
dehumidifier;5
groceries;5
sauna bowl;5
curtain rod cover;5
dirt ground;5
food tray;4
elephant sculpture;4
file;4
pavement;4
exercise mat roll;4
hair brush;4
boots;4
hammock;4
electronics;4
flush button;4
decorative quilt;4
weight bench;4
grass;4
floor stand;4
blackboard;4
flush;4
water tank;4
support;4
kitchen handle;4
podium;4
pet bowl;4
relief;4
hand dryer;4
sauna support;4
surfboard;4
water heater;4
garden chair;4
dustpan;4
bedpost;4
globe stand;4
pen cup;4
document holder;4
trolley;4
wall statue;4
sauna heater;4
hammer;4
wine cabinet;4
panel screen;4
unknown/remove;4
stand/small table;4
stonework;4
cassette;4
laundry;4
stained glass;4
magic marker;4
cleaning liquid;4
extension cord;4
closet storage area;4
coach;4
gloves;4
shade rail;4
scoop;4
kitchenware;4
leaflets;4
menu board;4
menu;4
ceramics;4
typewriter;4
book cabinet;4
condiment;4
objects;4
rocking horse;3
bed light;3
soapbox;3
canopy;3
mortar;3
aquarium;3
rock;3
foosball table;3
soap dish cubby;3
curtain valence;3
plant ornament;3
cradle;3
hatch;3
bureau;3
mannequin;3
game;3
electricity box;3
tool rack;3
rack of weights;3
telescope;3
oven vent;3
fire screen;3
speaker stand;3
cage;3
baby changing station;3
shelf with cosmetics;3
electric installation;3
solarium;3
lawn;3
garage door opener;3
copier machine;3
stapler;3
cat;3
sponge;3
swing;3
dvd player;3
guitar case;3
saxophone;3
socks;3
schedule;3
electric kettle;3
storage space;3
fireplace shelf;3
puppet;3
grate;3
roll;3
router;3
model;3
chess;3
football;3
gym stepper;3
punchbag;3
cash register;3
sandals;3
stage;3
curb;3
keg;3
dish dryer;3
guitar stand;3
moose head/sculpture/hunting trophy;3
electric toothbrush;3
christmas tree;3
wire;3
information;3
electric device;3
fishing pole;3
controller;3
pliers;3
screwdriver;3
bathroom glass;3
rake;3
basket with clothes;3
display case;3
electric wire;2
electric heater;2
barbecue;2
duvet;2
paper holder;2
axe;2
plane;2
deck chair;2
cleaning fluid;2
pump;2
drill;2
banner;2
liquid cleaner;2
electric cord;2
bricks;2
recuperator;2
plenum box;2
water pump;2
beer crate;2
medal;2
fire pit;2
vanity;2
paper towel holder;2
medical lamp;2
thermometer;2
sauna seat;2
beverage dispenser;2
electric hub;2
dispenser;2
backsplash;2
salt and pepper;2
fish tank;2
gap;2
bread bin;2
soundbar;2
chaise;2
sky;2
junk;2
jacuzzi;2
pool;2
ashtray;2
stereo;2
candelabra;2
ball pouffe;2
leg rest;2
dress;2
art/statue;2
skateboard;2
clothing stand;2
drinking fountain;2
cone;2
sticker book;2
electric percussion;2
guitar pedals;2
keyboard stand;2
trombone;2
trumpet;2
material;2
note board;2
bath curtain;2
storage unit;2
antique telephone;2
belt;2
roomba;2
fume cupboard;2
electric cable;2
baseball cap;2
charger;2
compressor;2
sleeping bag;2
coaster;2
console pad;2
console;2
toiletry bag;2
hutch;2
icebox;2
stack;2
barbell;2
payment terminal;2
power strip;2
toothpaste;2
cd player;2
jars;2
receipt printer;2
saturator;2
spices;2
hand cloth;2
aisle frame;2
shoe shelf;2
eyeglasses;2
dog leash;2
toilet seat;2
decorative lantern;2
curtain hanger;2
stack of stuff;2
installation;2
baseball bat;2
rack with shoes;2
bust;2
chassis;2
ice maker;2
cook book;2
bell;2
fur;2
blouse;2
ragdoll;2
doily;2
electrical switchboard;2
measuring tape;2
bookstand;2
baby changing table;2
pedestal;2
liquid;2
water basin;2
wheelbarrow;2
lawn mower;2
ski;2
cleaning paste;2
lower cabinet;2
flowerbed;2
power breaker box;1
door screen;1
subwoofer;1
central heating furnace;1
set of valves;1
cross-trainer;1
modem;1
cat food;1
motorcycle;1
dish rack;1
tent;1
headset;1
tripod;1
baby chair;1
sauna;1
music equipment;1
security detector;1
mail;1
ceiling lamp rail;1
medical object;1
meter;1
electrical installation;1
pole;1
extension lead;1
playpen;1
chain;1
drawer sink table;1
hole puncher;1
mousepad;1
screw box;1
water meter;1
gauge;1
gas meter;1
water outlet;1
crutches;1
bread box;1
electric plug;1
air purifier;1
bicycle helmet;1
sled;1
cleaner;1
grab bar;1
cleaning paper;1
golf sticks;1
medal collection;1
bowl of sweets;1
screen frame;1
birdhouse;1
makeup accessories;1
art piece;1
foot spa;1
sauna oven;1
foam;1
advertisement;1
steel plate;1
flush push;1
cleaner brush;1
bottle dispenser;1
flashlight;1
rag;1
game board;1
lantern;1
gas box;1
soft chair;1
water fountain;1
riser;1
swivel chair;1
pencil;1
sticky notes;1
desk organizer;1
conference phone;1
curtain box;1
overhang;1
tea set;1
billiard balls;1
press;1
pencil holder;1
title;1
toaster oven;1
row of theater chairs;1
rice cooker;1
blanket basket;1
scanner;1
violin case;1
folding stand;1
partial;1
cat tree;1
stack of yarns;1
den;1
torch;1
trough;1
basket of fruits;1
ceiling chassis;1
ceiling hanger;1
keyboard cover;1
board with keys;1
tambourine;1
electric drum;1
counter desk;1
microphone accessory;1
t-shirt;1
keyboard box;1
music stand;1
magazine rack;1
shelf with shoes;1
sewing set;1
sewing tools;1
cat litter box;1
shower hanger;1
cleaning spray;1
salt and pepper grinder;1
ping pong table;1
draw;1
music album shelf;1
candle stand;1
guitar frame;1
ship toy;1
platter;1
audio player;1
firewood chest;1
kitchen seating;1
hats;1
cat toilet;1
workstation;1
drawers for clothes;1
sink table;1
vegetables;1
waffle iron;1
bag with sheets;1
three;1
firebox;1
fireplace brush;1
pantry;1
drawer desk;1
bread;1
crayon;1
drawer cart;1
gas furnace;1
canal;1
spirit level;1
air heater;1
trampoline;1
hoverboard;1
knife stand;1
food processor;1
frying pan;1
ball chair;1
strongbox;1
dog toy;1
console pad charger;1
gramophone;1
hourglass;1
umbrella stand;1
copier;1
tennis racket;1
bathtub knob;1
glass container;1
dish cabinet;1
gym rope;1
meshwork;1
boxing ring;1
emergency sign;1
bed base;1
package;1
cyp;1
planner;1
alcohol bottles;1
cookies;1
bag with something;1
mobile;1
bridge;1
ball pool;1
mailbox;1
exercise ladder;1
sauna heat rocks;1
antlers;1
sombrero;1
gas container;1
receipt spike;1
spray can;1
bottle opener;1
bunk bed;1
baby seat;1
cork board;1
secretary;1
air hockey;1
prop;1
fishing rod;1
exercising blocks;1
bath grab bar;1
photo stand;1
records;1
microphone;1
shoe cabinet;1
sheet music;1
pitchfork;1
salver;1
apron;1
sledge;1
chamber pot;1
cloth holder;1
foot stand;1
stack of books / papers;1
wine storage;1
cleaning sponge;1
air vent fan;1
ceiling fire detector;1
ceiling fan vent;1
desk cabinet;1
fan air vent;1
pendant;1
box pen;1
sewing box;1
shredder;1
basket with books;1
basketballs;1
electrical device;1
liquid container;1
silicone gun;1
camping chair;1
arcade;1
framed text;1
ceiling ladder;1
exhibition table;1
whine shelf;1
table tennis table;1
bonsai tree;1
window seat;1
kitchen sink cabinet;1
lighter;1
bath side table;1
gravel;1
self-closing mechanism;1
food stand;1
chest bench;1
shoulder bag;1
bedroom table;1
drawer cabinet;1
vinyl records;1
apple;1
card;1
pot lid;1
pouches;1
gun;1
handkerchiefs;1
painting roll;1
painting tray;1
glue;1
ruler;1
wrench;1
level;1
spatula;1
square;1
base;1
recliner;1
chair stand;1
window valence;1
potty;1
water bottle;1
desk door;1
file binder;1
decorative mask;1
game console;1
changing table;1
instrument;1
canoe;1
pressure washer;1
oar;1
power cord;1
traffic cone;1
entry phone;1
basketball hoop;1
goalpost;1
handcart;1
rolling pin;1
tapestry;1
skates;1
kitchen gloves;1
bed ladder;1
grandfather clock;1
shoehorn;1
cake;1
construction stuff;1
stroke;1
painting stuff;1
pencil case;1
bath shower;1
pillow seat;1
pen drive;1
soap tray;1
firewood bag;1
spice boxes;1
condensation furnace;1
child car seat;1
trimmer;1
stole;1
decorative ceramic;1
cleaning powders/ liquids;1
hi-hat;1
bath hanger;1
buffet;1
